family,trial,params,cv_log_loss
lightgbm,20,"{""n_estimators"": 179, ""learning_rate"": 0.06340620825470834, ""max_depth"": 3, ""num_leaves"": 110, ""subsample"": 0.5078942523570685, ""colsample_bytree"": 0.5678068988262672, ""min_child_samples"": 15, ""reg_alpha"": 0.03463258726317754, ""reg_lambda"": 0.0009770008113816559}",0.5909462031144496
lightgbm,21,"{""n_estimators"": 60, ""learning_rate"": 0.03333139382841498, ""max_depth"": 2, ""num_leaves"": 118, ""subsample"": 0.5936785006586494, ""colsample_bytree"": 0.6797274450894732, ""min_child_samples"": 25, ""reg_alpha"": 0.0008523712916679695, ""reg_lambda"": 1.1768406957864263e-05}",0.54833740563298
lightgbm,22,"{""n_estimators"": 58, ""learning_rate"": 0.03555764522620332, ""max_depth"": 2, ""num_leaves"": 92, ""subsample"": 0.5353647795628996, ""colsample_bytree"": 0.682909089671167, ""min_child_samples"": 24, ""reg_alpha"": 0.0006363389352024495, ""reg_lambda"": 3.156321193444615e-05}",0.5490635961522273
lightgbm,23,"{""n_estimators"": 115, ""learning_rate"": 0.01943482352208918, ""max_depth"": 3, ""num_leaves"": 116, ""subsample"": 0.623904727046525, ""colsample_bytree"": 0.5748414201554088, ""min_child_samples"": 19, ""reg_alpha"": 0.0008408474866546844, ""reg_lambda"": 0.0005573866698480855}",0.5503232875581289
lightgbm,24,"{""n_estimators"": 175, ""learning_rate"": 0.027222919103165082, ""max_depth"": 2, ""num_leaves"": 93, ""subsample"": 0.7281511133654013, ""colsample_bytree"": 0.5770511003850695, ""min_child_samples"": 36, ""reg_alpha"": 4.678073015608425e-05, ""reg_lambda"": 0.0061813334488223836}",0.548825689314055
lightgbm,25,"{""n_estimators"": 87, ""learning_rate"": 0.0405006534799436, ""max_depth"": 3, ""num_leaves"": 119, ""subsample"": 0.5659835072598273, ""colsample_bytree"": 0.6746815678267771, ""min_child_samples"": 24, ""reg_alpha"": 0.0018356228868024395, ""reg_lambda"": 1.3702068211454441e-06}",0.5450481648001132
lightgbm,26,"{""n_estimators"": 145, ""learning_rate"": 0.05885451422597154, ""max_depth"": 3, ""num_leaves"": 97, ""subsample"": 0.5523342870073847, ""colsample_bytree"": 0.6030506747032403, ""min_child_samples"": 9, ""reg_alpha"": 0.015200919989653403, ""reg_lambda"": 1.388767019445594e-06}",0.5810518094277582
lightgbm,27,"{""n_estimators"": 205, ""learning_rate"": 0.10148782517683548, ""max_depth"": 3, ""num_leaves"": 80, ""subsample"": 0.8082910629341737, ""colsample_bytree"": 0.6558600348039264, ""min_child_samples"": 21, ""reg_alpha"": 0.0603639851633163, ""reg_lambda"": 0.00028202077920734477}",0.632421485008503
lightgbm,28,"{""n_estimators"": 92, ""learning_rate"": 0.039537984395593875, ""max_depth"": 4, ""num_leaves"": 118, ""subsample"": 0.631711454629125, ""colsample_bytree"": 0.7182911399423215, ""min_child_samples"": 30, ""reg_alpha"": 0.0023308694642417073, ""reg_lambda"": 1.693732665098411e-06}",0.5438331629486332
lightgbm,29,"{""n_estimators"": 225, ""learning_rate"": 0.044112564527432514, ""max_depth"": 4, ""num_leaves"": 120, ""subsample"": 0.6414066890415039, ""colsample_bytree"": 0.7287442266328443, ""min_child_samples"": 35, ""reg_alpha"": 3.203475606839387e-05, ""reg_lambda"": 6.815253022198612e-07}",0.5676008463416039
lightgbm,30,"{""n_estimators"": 119, ""learning_rate"": 0.07586193269199651, ""max_depth"": 5, ""num_leaves"": 103, ""subsample"": 0.7092835376356352, ""colsample_bytree"": 0.6968192361489549, ""min_child_samples"": 29, ""reg_alpha"": 0.219115545439401, ""reg_lambda"": 1.6952165020387408e-07}",0.5780460815649859
lightgbm,31,"{""n_estimators"": 92, ""learning_rate"": 0.03659319268925077, ""max_depth"": 3, ""num_leaves"": 116, ""subsample"": 0.5019468103211517, ""colsample_bytree"": 0.6522793159185845, ""min_child_samples"": 29, ""reg_alpha"": 0.0023682933781599916, ""reg_lambda"": 3.6981830808459712e-06}",0.5443643819645329
lightgbm,32,"{""n_estimators"": 107, ""learning_rate"": 0.04707629956054307, ""max_depth"": 4, ""num_leaves"": 121, ""subsample"": 0.5640183572102857, ""colsample_bytree"": 0.7597607159840392, ""min_child_samples"": 31, ""reg_alpha"": 8.904026442114263e-05, ""reg_lambda"": 2.9881268055237225e-06}",0.5456156749127238
